freq,Ang_0,Ang_45,Ang_90,Ang_135,Ang_180,Ang_225,Ang_270,Ang_315,Ang_360
4.00E+09,0.000286688,0.000607004,0.000721081,0.000342267,0.000389831,0.000128414,0.000334308,0.000609496,0.000680595
4.01E+09,0.000295923,0.000610369,0.000718633,0.000312006,0.000373991,0.000112067,0.000341273,0.000610096,0.000667145
4.02E+09,0.000306048,0.000614211,0.000716271,0.000277521,0.000357152,9.54E-05,0.000349073,0.000610591,0.000652664
4.02E+09,0.000317028,0.000618496,0.000714088,0.000237647,0.000339517,8.08E-05,0.000357824,0.000610923,0.000637258
4.03E+09,0.00032883,0.000623191,0.000712177,0.000185904,0.000321291,6.96E-05,0.000367683,0.000611041,0.000621033
4.04E+09,0.00034142,0.000628252,0.000710635,0.000152005,0.000302678,6.10E-05,0.000378858,0.000610894,0.000604097
4.05E+09,0.000354761,0.000633638,0.00070956,0.000131894,0.000283877,5.42E-05,0.000391598,0.000610435,0.000586557
4.06E+09,0.000368816,0.000639302,0.000709052,0.000117993,0.00026508,4.88E-05,0.000406196,0.000609621,0.000568522
4.06E+09,0.000383543,0.000645191,0.000709216,0.000107749,0.000246472,4.43E-05,0.000422983,0.000608416,0.0005501
4.07E+09,0.000396574,0.000651153,0.00071069,0.000100775,0.000229603,4.11E-05,0.000440658,0.000606708,0.000533116
4.08E+09,0.000407809,0.000656932,0.000713537,9.63E-05,0.000214267,3.88E-05,0.000459562,0.000604397,0.000517374
4.09E+09,0.000417272,0.00066231,0.000717839,9.38E-05,0.000200294,3.74E-05,0.000480112,0.000601468,0.000502718
4.10E+09,0.000425034,0.000667108,0.000723683,9.30E-05,0.000187538,3.69E-05,0.000502734,0.000597951,0.000489027
4.10E+09,0.000431166,0.000671192,0.000731142,9.41E-05,0.000175867,3.71E-05,0.000527835,0.000593898,0.000476218
4.11E+09,0.00043574,0.000674468,0.000740275,9.70E-05,0.00016517,3.81E-05,0.000555788,0.000589366,0.000464245
4.12E+09,0.000438828,0.000676879,0.000751125,0.000102013,0.000155343,4.03E-05,0.000586919,0.000584419,0.000453091
4.13E+09,0.000440513,0.000678389,0.000763732,0.000109911,0.000146285,4.39E-05,0.000621513,0.000579126,0.000442763
4.14E+09,0.000440883,0.000678982,0.000778125,0.000121951,0.00013789,4.92E-05,0.000659801,0.000573557,0.000433282
4.14E+09,0.000440029,0.000678659,0.000794325,0.000141153,0.000130047,5.58E-05,0.000701938,0.000567781,0.00042468
4.15E+09,0.00043805,0.000677437,0.000812335,0.00017953,0.000122639,6.25E-05,0.00074798,0.000561862,0.000416995
4.16E+09,0.00043505,0.000675355,0.000832136,0.000219197,0.000115547,6.91E-05,0.000797864,0.000555855,0.000410269
4.17E+09,0.000431149,0.000672468,0.000853689,0.000252941,0.000108657,7.56E-05,0.000851395,0.000549807,0.00040455
