,mean,std
0,-31.5267896485889,2.8196367350870686
1,-36.241930197136085,2.156809270746604
2,-34.45239386518998,2.8182319137110117
3,-35.24676827809967,2.8072419639757578
4,-33.99728284229309,2.800404904406634
5,-31.338247246607118,1.9315251742779715
6,-32.6012505263437,2.1245889180352586
7,-35.247832338847644,2.526948653893512
8,-35.574099505243055,2.301339200415453
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
