Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,49.758,50.613,47.011,47.668,47.665,49.890,50.216,65.640
0.000,52.034,53.044,49.163,49.867,49.981,52.283,52.579,65.301
0.000,53.020,54.138,50.359,50.920,51.042,53.445,53.874,65.131
0.000,54.191,55.027,51.383,51.856,52.082,54.437,54.781,65.057
0.000,54.894,55.689,52.289,52.610,52.842,55.177,55.446,64.959
0.000,55.184,56.013,52.791,52.922,53.146,55.663,56.034,64.814
0.000,55.477,56.385,53.338,53.324,53.686,56.141,56.458,64.659
0.274,55.714,56.651,53.798,53.769,54.058,56.573,56.904,64.448
0.000,56.088,56.927,54.132,53.971,54.250,56.926,57.304,64.182
0.000,56.435,57.254,54.251,54.333,54.598,57.221,57.558,63.994
0.000,56.619,57.458,54.464,54.591,54.869,57.506,57.795,63.811
0.000,56.873,57.646,54.592,54.795,55.038,57.699,58.022,63.799
0.000,56.873,57.712,54.785,54.857,55.030,57.689,58.128,63.687
0.000,57.001,57.925,54.984,55.057,55.241,57.919,58.271,63.647
0.000,57.159,58.094,55.119,55.184,55.339,58.037,58.368,63.421
0.371,57.307,58.145,55.152,55.198,55.294,58.044,58.453,63.253
0.000,57.415,58.178,55.195,55.358,55.448,58.101,58.490,63.340
0.000,57.515,58.296,55.325,55.507,55.565,58.172,58.585,64.043
0.000,57.527,58.240,55.388,55.513,55.529,58.218,58.688,64.050
0.000,57.513,58.305,55.438,55.577,55.600,58.325,58.707,64.202
0.000,57.595,58.398,55.485,55.712,55.713,58.364,58.701,64.152
0.000,57.714,58.406,55.438,55.732,55.779,58.519,58.770,64.164
0.000,57.725,58.443,55.537,55.727,55.785,58.490,58.772,64.018
0.468,57.835,58.468,55.550,55.803,55.966,58.504,58.833,63.872
0.000,57.873,58.517,55.570,55.894,56.137,58.570,58.930,63.916
0.000,57.861,58.540,55.595,55.945,56.151,58.566,58.982,64.040
0.000,57.942,58.653,55.650,55.992,56.261,58.590,59.004,64.374
0.000,57.939,58.746,55.647,56.076,56.382,58.632,59.018,64.148
0.000,57.949,58.805,55.741,56.099,56.429,58.739,59.152,63.864
0.000,57.957,58.852,55.747,56.174,56.512,58.786,59.118,63.796
0.000,57.951,58.940,55.795,56.240,56.628,58.857,59.070,63.780
0.564,57.912,59.002,55.879,56.255,56.648,58.887,59.102,63.544
0.000,57.809,58.993,56.016,56.232,56.632,58.887,59.065,63.266
0.000,57.761,59.090,56.146,56.361,56.708,59.081,59.107,63.019
0.000,57.806,59.208,56.124,56.396,56.748,59.124,59.109,62.762
0.000,57.842,59.195,56.084,56.423,56.704,59.063,59.056,62.518
0.000,57.896,59.286,56.143,56.432,56.730,59.130,59.070,62.308
0.000,57.868,59.315,56.187,56.469,56.754,59.163,59.128,62.057
0.000,57.913,59.367,56.209,56.453,56.693,59.178,59.154,61.832
0.664,57.940,59.317,56.244,56.411,56.731,59.184,59.149,61.623
0.000,57.937,59.358,56.310,56.505,56.745,59.289,59.230,61.495
0.000,57.969,59.318,56.310,56.459,56.704,59.233,59.244,61.908
0.000,57.877,59.295,56.362,56.488,56.669,59.256,59.253,62.123
0.000,57.893,59.356,56.350,56.510,56.738,59.257,59.210,62.033
0.000,57.880,59.404,56.332,56.462,56.735,59.226,59.234,62.490
0.000,57.824,59.379,56.388,56.459,56.703,59.241,59.265,62.343
0.764,57.755,59.387,56.342,56.488,56.692,59.318,59.241,62.332
0.000,57.711,59.413,56.337,56.483,56.678,59.268,59.223,62.256
0.000,57.738,59.381,56.313,56.367,56.663,59.198,59.255,62.164
0.000,57.785,59.336,56.349,56.367,56.676,59.184,59.211,62.115
0.000,57.757,59.394,56.407,56.460,56.714,59.254,59.245,61.917
0.000,57.777,59.440,56.354,56.438,56.661,59.364,59.298,61.716
0.000,57.828,59.435,56.330,56.438,56.645,59.274,59.255,61.701
0.000,57.863,59.434,56.351,56.415,56.671,59.261,59.287,62.251
0.859,57.900,59.483,56.328,56.388,56.696,59.355,59.326,62.510
0.000,57.872,59.404,56.321,56.424,56.638,59.303,59.299,62.770
0.000,57.904,59.363,56.267,56.446,56.637,59.330,59.298,62.813
0.000,57.866,59.307,56.266,56.395,56.588,59.227,59.274,62.884
0.000,57.830,59.209,56.213,56.293,56.579,59.243,59.223,62.837
0.000,57.864,59.259,56.251,56.460,56.641,59.342,59.253,62.836
0.000,57.784,59.237,56.239,56.489,56.650,59.313,59.251,62.640
0.000,57.819,59.274,56.223,56.415,56.743,59.235,59.238,62.450
0.960,57.731,59.204,56.221,56.457,56.739,59.220,59.205,62.308
0.000,57.726,59.229,56.250,56.486,56.717,59.298,59.227,62.108
0.000,57.688,59.182,56.220,56.424,56.711,59.240,59.283,61.879
0.000,57.599,59.124,56.238,56.448,56.603,59.182,59.245,61.688
0.000,57.623,59.146,56.242,56.472,56.590,59.151,59.225,61.921
0.000,57.623,59.187,56.264,56.468,56.588,59.169,59.277,62.852
0.000,57.575,59.097,56.216,56.404,56.493,59.137,59.241,62.740
0.000,57.560,59.060,56.173,56.400,56.541,59.102,59.196,62.604
1.050,57.542,59.036,56.161,56.367,56.558,59.138,59.189,62.472
0.000,57.590,59.034,56.140,56.307,56.518,59.164,59.166,62.393
0.000,57.592,59.036,56.125,56.300,56.504,59.208,59.185,62.215
0.000,57.673,59.047,56.109,56.281,56.478,59.229,59.202,62.022
