Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,73.729,72.493,70.426,68.124,65.840,71.278,74.513,74.851
0.000,76.002,74.662,72.738,70.419,68.522,73.331,76.979,77.189
0.000,78.000,76.352,74.389,71.955,70.139,75.258,78.926,78.820
0.000,78.936,77.204,75.510,73.150,71.104,76.392,79.808,79.940
0.000,79.715,77.989,76.456,73.893,71.933,77.135,80.434,80.800
0.000,80.242,78.539,76.933,74.535,72.419,77.674,80.974,81.317
0.000,80.628,79.040,77.321,74.877,72.997,78.176,81.550,81.776
0.279,81.090,79.391,77.705,75.218,73.352,78.628,81.921,82.207
0.000,81.383,79.681,78.040,75.716,73.621,78.943,82.308,82.541
0.000,81.722,79.827,78.250,75.941,73.953,79.263,82.446,82.803
0.000,82.057,80.050,78.523,76.264,74.274,79.459,82.656,83.131
0.000,82.228,80.295,78.731,76.511,74.429,79.628,82.860,83.325
0.000,82.399,80.540,78.916,76.659,74.602,79.844,83.158,83.551
0.000,82.582,80.727,79.105,76.818,74.752,80.009,83.277,83.722
0.000,82.751,80.900,79.190,76.943,74.883,80.091,83.426,83.860
0.376,82.968,81.143,79.455,77.051,75.077,80.327,83.531,83.984
0.000,83.131,81.322,79.611,77.082,75.287,80.403,83.665,84.155
0.000,83.246,81.357,79.660,77.141,75.419,80.498,83.667,84.163
0.000,83.299,81.459,79.736,77.198,75.434,80.506,83.744,84.202
0.000,83.376,81.599,79.852,77.330,75.465,80.559,83.883,84.283
0.000,83.488,81.759,80.035,77.467,75.526,80.694,83.911,84.424
0.000,83.616,81.778,80.002,77.442,75.585,80.763,83.973,84.410
0.000,83.641,81.770,80.055,77.468,75.643,80.769,83.936,84.406
0.470,83.686,81.781,80.041,77.489,75.706,80.773,83.959,84.402
0.000,83.690,81.765,80.019,77.455,75.764,80.730,83.919,84.425
0.000,83.776,81.768,80.046,77.530,75.782,80.757,83.925,84.449
0.000,83.805,81.739,80.066,77.548,75.828,80.811,83.975,84.513
0.000,83.825,81.685,80.210,77.585,75.835,80.934,83.916,84.518
0.000,83.858,81.706,80.242,77.669,75.805,80.962,83.938,84.529
0.000,83.869,81.726,80.178,77.636,75.844,80.957,83.915,84.594
0.000,83.811,81.765,80.195,77.626,75.807,80.990,83.966,84.558
0.569,83.786,81.786,80.209,77.632,75.798,80.962,83.995,84.563
0.000,83.775,81.852,80.177,77.644,75.794,80.998,84.055,84.623
0.000,83.802,81.931,80.239,77.720,75.864,81.004,84.082,84.657
0.000,83.801,81.911,80.212,77.667,75.828,81.006,84.093,84.656
0.000,83.758,81.918,80.182,77.676,75.768,81.024,84.110,84.669
0.000,83.782,81.880,80.217,77.711,75.763,80.997,84.122,84.658
0.000,83.715,81.818,80.197,77.737,75.744,80.969,84.135,84.626
0.000,83.672,81.809,80.181,77.711,75.753,80.991,84.169,84.600
0.667,83.671,81.761,80.128,77.706,75.803,80.957,84.149,84.547
0.000,83.777,81.695,80.134,77.721,75.831,81.020,84.124,84.554
0.000,83.827,81.734,80.130,77.688,75.854,81.082,84.229,84.557
0.000,83.836,81.737,80.126,77.706,75.870,81.100,84.302,84.632
0.000,83.839,81.712,80.134,77.741,75.820,81.109,84.317,84.661
0.000,83.890,81.735,80.184,77.817,75.965,81.166,84.334,84.774
0.000,83.897,81.824,80.248,77.921,76.093,81.287,84.490,84.918
0.766,83.888,81.782,80.357,78.059,76.205,81.374,84.506,84.918
0.000,84.004,81.845,80.402,78.100,76.145,81.380,84.564,84.957
0.000,83.998,81.897,80.407,78.047,76.089,81.360,84.641,84.957
0.000,83.968,82.024,80.417,78.083,76.114,81.376,84.740,84.958
0.000,84.039,82.113,80.438,78.078,76.104,81.345,84.747,84.965
0.000,84.035,82.171,80.418,78.153,76.130,81.409,84.824,84.985
0.000,84.005,82.163,80.394,78.142,76.128,81.372,84.817,84.998
0.000,84.047,82.224,80.455,78.156,76.198,81.428,84.834,85.056
0.861,84.100,82.212,80.495,78.260,76.210,81.464,84.850,85.075
0.000,84.032,82.164,80.421,78.254,76.201,81.452,84.824,84.959
0.000,83.982,82.214,80.459,78.275,76.212,81.455,84.808,84.897
0.000,83.890,82.116,80.335,78.193,76.206,81.366,84.719,84.811
0.000,83.932,82.157,80.275,78.131,76.192,81.372,84.710,84.742
0.000,83.907,82.201,80.281,78.102,76.234,81.406,84.722,84.799
0.000,83.920,82.200,80.289,78.138,76.291,81.405,84.700,84.777
0.000,83.917,82.230,80.325,78.132,76.257,81.403,84.732,84.779
0.957,83.814,82.125,80.271,78.066,76.220,81.329,84.687,84.751
0.000,83.774,82.060,80.225,78.023,76.274,81.312,84.704,84.743
0.000,83.758,82.000,80.200,77.983,76.254,81.236,84.612,84.700
0.000,83.943,82.067,80.341,78.061,76.303,81.333,84.680,84.814
0.000,83.931,82.083,80.352,78.013,76.342,81.292,84.663,84.817
