Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,92.173,92.220,91.181,90.771,91.584,91.066,91.802,90.786
0.000,91.738,91.786,90.746,90.337,91.150,90.631,91.368,90.351
0.000,91.303,91.351,90.311,89.902,90.715,90.196,90.933,89.916
0.000,90.868,90.916,89.876,89.467,90.280,89.761,90.498,89.481
0.000,90.434,90.481,89.441,89.032,89.845,89.326,90.063,89.046
0.000,89.999,90.046,89.006,88.597,89.410,88.891,89.628,88.611
0.000,89.564,89.611,88.571,88.162,88.975,88.456,89.193,88.176
0.311,89.129,89.176,88.136,87.727,88.540,88.021,88.758,87.741
0.000,88.694,88.741,87.701,87.292,88.105,87.586,88.323,87.306
0.000,88.259,88.306,87.266,86.857,87.670,87.152,87.888,86.871
0.000,87.824,87.871,86.831,86.422,87.235,86.717,87.453,86.436
0.000,87.389,87.436,86.397,85.987,86.800,86.282,87.018,86.001
0.000,86.954,87.001,85.962,85.552,86.365,85.847,86.583,85.566
0.000,87.054,87.090,86.304,85.859,85.930,85.412,86.148,85.132
0.000,86.619,86.742,85.870,85.437,85.495,84.977,85.713,84.697
0.411,86.991,86.307,85.520,85.858,86.010,84.542,86.202,84.837
0.000,86.563,98.571,93.529,85.540,85.575,85.235,85.771,84.403
0.000,86.134,100.018,93.095,85.110,86.205,84.800,86.485,84.786
0.000,85.706,100.478,95.725,84.679,85.777,84.365,86.067,84.646
0.000,85.278,100.045,95.292,84.250,85.349,89.030,85.638,84.218
0.000,84.851,101.396,96.790,83.821,84.921,93.509,85.209,83.790
0.000,84.424,100.977,96.356,83.393,84.493,93.076,84.781,83.363
0.000,83.998,101.715,95.921,82.965,84.065,95.528,84.353,82.936
0.507,83.574,101.280,95.486,82.538,83.638,95.094,83.927,82.512
0.000,83.149,100.845,95.051,82.111,83.213,94.659,83.502,82.088
0.000,82.727,102.493,94.616,81.702,82.787,94.224,87.657,81.666
0.000,82.304,103.378,99.632,93.571,82.362,93.789,94.736,83.720
0.000,87.847,102.944,101.816,94.013,81.939,98.401,96.453,83.339
0.000,95.351,102.513,101.390,95.802,81.516,100.051,96.150,93.128
0.000,97.214,105.098,100.956,98.055,81.093,99.617,95.715,95.821
0.000,96.783,104.677,100.525,99.391,80.768,99.182,99.310,95.389
0.606,96.348,104.243,100.101,99.089,83.421,101.417,100.738,94.954
0.000,101.920,103.810,99.685,100.728,82.995,103.009,100.304,94.519
0.000,101.523,103.378,99.267,101.860,82.560,102.575,101.970,94.084
0.000,101.104,102.947,98.845,101.433,97.875,102.142,103.493,93.649
0.000,104.255,102.515,98.420,103.447,100.485,101.713,103.061,99.239
0.000,103.822,102.082,97.992,103.013,100.050,101.284,102.633,101.791
0.000,103.389,101.649,97.564,102.578,101.826,100.855,102.208,101.358
0.000,102.957,101.215,97.134,102.144,103.531,100.425,101.781,100.933
0.707,102.525,100.782,96.704,101.710,103.096,99.994,101.353,100.508
0.000,102.093,100.348,96.274,101.276,102.662,99.562,100.923,100.077
0.000,101.660,99.915,95.843,100.841,102.229,99.129,100.492,101.382
0.000,101.227,99.481,95.412,100.407,101.796,98.695,100.061,102.736
0.000,100.793,99.047,94.982,99.972,101.362,98.262,99.629,102.302
0.000,100.360,98.614,94.551,99.538,100.928,97.829,99.196,101.868
0.000,99.926,98.181,94.121,99.103,100.494,97.395,98.764,101.433
0.804,99.492,97.748,93.690,98.669,100.060,96.962,98.332,100.999
0.000,99.059,97.315,93.260,98.234,99.625,96.528,97.900,100.568
0.000,98.625,96.882,92.830,97.800,99.191,96.095,97.468,100.135
0.000,98.192,96.449,92.401,97.365,98.756,95.662,97.036,99.701
0.000,97.758,96.017,91.972,96.931,98.322,95.229,96.605,99.268
0.000,97.325,95.584,91.544,96.497,97.888,94.797,96.174,98.834
0.000,96.892,95.152,91.116,96.063,97.453,94.364,95.743,98.400
0.000,96.459,94.721,90.687,95.629,97.019,93.932,95.313,97.968
0.902,96.027,94.289,90.260,95.195,96.585,93.501,94.883,97.535
0.000,95.594,93.858,89.833,94.761,96.151,93.069,94.454,97.106
0.000,95.162,93.427,89.408,94.327,95.717,92.638,94.024,96.674
0.000,94.730,92.997,88.983,93.893,95.283,92.208,93.596,96.241
0.000,94.298,92.567,88.561,93.459,94.849,91.778,93.168,95.809
0.000,93.867,92.138,88.140,93.026,94.415,91.348,92.742,95.378
0.000,93.436,91.710,87.720,92.593,93.981,90.920,92.317,94.951
0.000,93.007,91.282,87.303,92.160,93.548,90.492,91.891,94.519
0.997,92.576,90.854,86.885,91.727,93.114,90.065,91.468,94.089
0.000,92.148,90.430,86.473,91.294,92.681,89.639,91.047,93.659
0.000,91.719,90.004,86.062,90.862,92.248,89.213,90.625,93.231
0.000,91.291,89.579,85.653,90.429,91.815,88.788,90.206,92.802
0.000,90.863,89.157,85.245,89.997,91.383,88.365,89.788,92.372
0.000,90.438,88.736,84.839,89.566,90.951,87.943,89.374,91.958
0.000,90.014,88.315,84.438,89.134,90.519,87.523,88.960,91.533
0.000,89.589,87.896,84.043,88.703,90.087,87.102,88.546,91.109
1.096,89.166,87.480,83.647,88.272,89.656,86.686,88.136,90.685
0.000,88.743,87.066,83.258,87.842,89.225,86.269,87.729,90.278
0.000,88.321,86.654,82.873,87.412,88.795,85.851,87.323,89.863
0.000,87.900,86.243,82.489,86.984,88.364,85.440,86.923,89.448
0.000,87.484,85.834,82.111,86.555,87.935,85.030,86.521,89.028
0.000,87.066,85.426,81.734,86.127,87.506,84.623,86.127,88.622
0.000,86.652,85.025,81.378,85.701,87.078,84.215,85.738,88.257
0.000,86.238,84.625,81.023,85.275,86.651,83.813,85.354,87.863
1.193,85.828,84.228,80.667,84.851,86.226,83.414,84.975,87.490
0.000,85.420,83.828,80.324,84.427,85.800,83.022,84.590,87.127
0.000,85.014,83.443,79.986,84.003,85.376,82.627,84.223,86.723
0.000,84.614,83.059,79.656,83.580,84.951,82.245,83.855,86.314
0.000,84.212,82.671,79.324,83.158,84.527,81.853,83.485,85.941
0.000,83.814,82.288,79.001,82.737,84.103,81.472,83.118,85.545
0.000,83.418,81.915,78.689,82.318,83.682,81.100,82.776,85.243
1.291,83.032,81.544,78.406,81.904,83.262,80.734,82.446,84.949
0.000,82.649,81.181,78.131,81.489,82.843,80.364,82.106,84.641
0.000,82.265,80.824,77.849,81.075,82.426,80.009,81.777,84.260
0.000,81.896,80.497,77.594,80.670,82.013,79.655,81.466,84.002
0.000,81.523,80.155,77.347,80.263,81.601,79.314,81.159,83.680
0.000,81.156,79.829,77.099,79.856,81.186,78.979,80.848,83.309
0.000,80.800,79.500,76.862,79.454,80.777,78.658,80.553,82.948
0.000,80.445,79.188,76.635,79.054,80.372,78.332,80.268,82.705
1.381,80.092,78.878,76.438,78.659,79.971,78.009,79.991,82.359
0.000,79.768,78.567,76.217,78.269,79.579,77.708,79.727,82.013
0.000,79.450,78.284,76.008,77.883,79.180,77.414,79.467,81.657
0.000,79.151,77.987,75.827,77.496,78.786,77.139,79.226,81.298
0.000,78.846,77.713,75.664,77.124,78.402,76.886,79.004,80.959
0.000,78.541,77.455,75.492,76.758,78.023,76.637,78.781,80.637
0.000,78.250,77.209,75.366,76.394,77.642,76.407,78.582,80.515
0.000,77.948,76.991,75.262,76.044,77.265,76.184,78.401,80.282
1.485,77.701,76.792,75.140,75.711,76.901,75.969,78.225,80.310
0.000,77.463,76.593,75.009,75.379,76.537,75.755,78.060,80.087
0.000,77.220,76.393,74.869,75.029,76.176,75.537,77.851,79.886
0.000,76.941,76.169,74.719,74.682,75.822,75.311,77.680,79.599
0.000,76.727,75.983,74.599,74.347,75.483,75.117,77.510,79.504
0.000,76.503,75.790,74.507,74.030,75.152,74.927,77.378,79.269
0.000,76.279,75.643,74.399,73.713,74.827,74.732,77.289,79.124
0.000,76.081,75.506,74.336,73.415,74.508,74.579,77.175,79.037
1.581,75.902,75.360,74.299,73.138,74.203,74.451,77.101,78.867
0.000,75.724,75.217,74.258,72.832,73.906,74.305,76.989,78.744
0.000,75.551,75.086,74.201,72.572,73.608,74.211,76.924,78.659
0.000,75.408,74.942,74.087,72.319,73.324,74.065,76.810,78.443
0.000,75.262,74.805,73.994,72.031,73.045,73.947,76.729,78.170
0.000,75.141,74.672,73.966,71.787,72.783,73.821,76.677,78.088
0.000,75.017,74.577,73.982,71.576,72.536,73.699,76.623,77.872
0.000,74.898,74.494,73.902,71.356,72.302,73.542,76.552,77.743
1.682,74.806,74.399,73.887,71.168,72.090,73.521,76.529,78.018
0.000,74.697,74.341,73.871,71.013,71.871,73.430,76.477,78.320
0.000,74.612,74.292,73.857,70.837,71.682,73.388,76.435,78.498
0.000,74.508,74.242,73.822,70.647,71.467,73.304,76.401,78.476
0.000,74.395,74.193,73.784,70.479,71.276,73.230,76.308,78.378
0.000,74.312,74.129,73.729,70.287,71.062,73.160,76.284,78.486
0.000,74.247,74.083,73.708,70.118,70.913,73.111,76.263,78.390
1.780,74.151,73.999,73.700,69.939,70.762,73.049,76.227,78.162
0.000,74.056,73.992,73.699,69.804,70.622,73.038,76.206,78.139
0.000,73.983,73.997,73.675,69.677,70.489,73.019,76.220,77.967
0.000,74.035,74.025,73.701,69.564,70.364,73.048,76.212,77.876
0.000,74.050,74.024,73.751,69.512,70.267,73.029,76.259,77.953
0.000,74.009,74.011,73.777,69.472,70.162,73.000,76.267,78.019
0.000,73.973,74.002,73.780,69.429,70.076,72.972,76.264,78.808
0.000,73.964,73.984,73.823,69.322,70.009,72.962,76.239,78.584
1.875,73.876,73.993,73.800,69.225,69.974,72.993,76.266,78.552
0.000,73.817,73.961,73.737,69.108,69.922,72.962,76.194,78.622
0.000,73.779,73.959,73.731,69.062,69.818,72.930,76.128,78.544
0.000,73.751,73.936,73.687,68.977,69.731,72.909,76.110,78.439
0.000,73.685,73.935,73.697,68.995,69.698,72.878,76.126,78.392
0.000,73.605,73.862,73.687,68.912,69.603,72.859,76.122,78.433
0.000,73.615,73.810,73.646,68.850,69.551,72.828,76.107,78.323
0.000,73.626,73.820,73.663,68.793,69.465,72.857,76.100,78.625
1.974,73.669,73.835,73.652,68.765,69.401,72.836,76.098,78.563
0.000,73.702,73.848,73.680,68.797,69.409,72.886,76.105,78.792
0.000,73.688,73.878,73.658,68.744,69.407,72.873,76.106,78.654
0.000,73.625,73.894,73.702,68.714,69.327,72.823,76.109,78.648
0.000,73.569,73.858,73.717,68.630,69.285,72.806,76.129,78.595
0.000,73.551,73.840,73.706,68.585,69.263,72.775,76.166,78.523
0.000,73.521,73.839,73.720,68.552,69.185,72.711,76.177,78.341
0.000,73.504,73.850,73.758,68.538,69.186,72.719,76.160,78.089
2.072,73.512,73.827,73.730,68.513,69.168,72.668,76.168,77.802
0.000,73.506,73.847,73.743,68.540,69.158,72.694,76.183,77.596
0.000,73.570,73.888,73.722,68.530,69.098,72.756,76.188,78.108
0.000,73.610,73.889,73.690,68.580,69.053,72.749,76.172,78.533
0.000,73.700,73.896,73.706,68.567,69.061,72.780,76.205,78.409
0.000,73.702,73.893,73.681,68.523,69.063,72.772,76.226,78.276
0.000,73.672,73.918,73.687,68.562,69.079,72.790,76.293,78.008
0.000,73.669,73.890,73.612,68.519,69.048,72.712,76.279,77.734
2.171,73.636,73.884,73.635,68.479,68.981,72.690,76.338,77.545
0.000,73.609,73.915,73.627,68.473,68.981,72.716,76.331,77.354
0.000,73.599,73.944,73.695,68.560,69.001,72.692,76.345,77.441
0.000,73.712,73.959,73.682,68.521,68.950,72.689,76.376,77.376
0.000,73.720,73.973,73.708,68.517,68.916,72.716,76.367,77.274
0.000,73.689,73.998,73.692,68.479,68.942,72.714,76.370,77.690
0.000,73.674,74.025,73.673,68.494,68.962,72.719,76.389,77.749
2.265,73.700,74.037,73.648,68.503,68.961,72.732,76.439,77.839
0.000,73.705,74.020,73.606,68.430,68.913,72.783,76.412,77.875
0.000,73.759,74.073,73.597,68.403,68.882,72.768,76.467,77.675
0.000,73.750,74.131,73.581,68.418,68.874,72.802,76.510,77.490
0.000,73.679,74.147,73.624,68.437,68.849,72.821,76.526,77.444
0.000,73.699,74.117,73.589,68.395,68.860,72.804,76.545,77.827
0.000,73.614,74.144,73.585,68.423,68.874,72.880,76.589,77.694
0.000,73.673,74.120,73.578,68.419,68.827,72.833,76.566,77.482
2.365,73.582,74.047,73.557,68.376,68.774,72.770,76.561,77.661
0.000,73.580,74.026,73.506,68.325,68.720,72.748,76.544,77.909
0.000,73.598,74.035,73.491,68.245,68.648,72.727,76.566,78.119
0.000,73.561,73.954,73.504,68.169,68.616,72.749,76.535,78.172
0.000,73.612,73.978,73.532,68.221,68.669,72.844,76.550,77.944
0.000,73.647,74.038,73.591,68.253,68.683,72.892,76.556,77.866
0.000,73.640,74.073,73.659,68.344,68.705,72.930,76.532,78.162
0.000,73.596,74.041,73.647,68.347,68.672,72.889,76.520,78.413
2.461,73.665,74.024,73.680,68.418,68.654,72.944,76.526,78.408
0.000,73.615,74.009,73.642,68.478,68.662,72.932,76.532,78.350
0.000,73.632,74.026,73.628,68.461,68.636,72.950,76.522,78.856
0.000,73.579,73.998,73.589,68.406,68.637,72.972,76.497,78.936
0.000,73.569,73.971,73.624,68.330,68.662,72.919,76.489,78.953
0.000,73.621,73.966,73.671,68.356,68.698,72.928,76.551,78.828
0.000,73.565,73.935,73.648,68.378,68.743,72.896,76.510,78.700
0.000,73.541,73.946,73.629,68.415,68.754,72.895,76.511,78.543
2.560,73.552,73.992,73.630,68.413,68.733,72.910,76.482,78.294
0.000,73.548,73.976,73.631,68.460,68.801,72.923,76.478,78.137
0.000,73.568,73.959,73.622,68.467,68.773,72.898,76.442,78.326
0.000,73.586,73.926,73.603,68.437,68.828,72.856,76.411,78.115
0.000,73.617,73.960,73.638,68.438,68.833,72.907,76.426,77.932
0.000,73.590,73.941,73.657,68.429,68.833,72.869,76.454,77.769
0.000,73.550,73.931,73.681,68.456,68.883,72.905,76.459,78.068
0.000,73.559,73.958,73.693,68.432,68.861,72.873,76.416,78.471
2.658,73.583,73.952,73.695,68.398,68.893,72.881,76.411,78.361
0.000,73.548,73.935,73.686,68.417,68.894,72.877,76.412,78.375
0.000,73.564,73.941,73.738,68.503,68.944,72.927,76.412,78.282
0.000,73.608,73.920,73.740,68.438,68.918,72.872,76.395,78.244
0.000,73.609,73.870,73.729,68.406,68.906,72.896,76.413,78.022
0.000,73.604,73.881,73.760,68.433,68.888,72.823,76.385,77.962
0.000,73.587,73.914,73.747,68.418,68.944,72.837,76.382,77.747
2.753,73.547,73.906,73.721,68.407,68.979,72.858,76.372,77.851
0.000,73.545,73.899,73.715,68.406,68.968,72.846,76.308,77.850
0.000,73.582,73.889,73.737,68.358,68.957,72.852,76.289,77.683
0.000,73.633,73.926,73.713,68.398,68.944,72.818,76.274,77.972
0.000,73.634,73.870,73.685,68.390,68.925,72.790,76.257,77.860
0.000,73.692,73.880,73.678,68.403,68.885,72.712,76.256,77.793
0.000,73.642,73.837,73.664,68.414,68.900,72.722,76.205,77.851
0.000,73.619,73.839,73.670,68.412,68.879,72.715,76.188,77.658
2.852,73.541,73.832,73.673,68.383,68.880,72.696,76.222,77.572
0.000,73.476,73.838,73.629,68.431,68.894,72.707,76.231,77.370
0.000,73.432,73.816,73.612,68.434,68.953,72.749,76.218,77.168
0.000,73.432,73.881,73.637,68.381,69.026,72.735,76.211,77.009
0.000,73.466,73.905,73.645,68.444,69.045,72.677,76.220,76.855
