Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,74.121,74.609,71.718,68.223,67.295,72.547,76.529,85.204
0.000,77.497,77.208,74.570,71.044,70.394,75.404,79.319,85.352
0.000,79.180,78.903,76.490,73.166,71.846,77.087,80.810,85.481
0.000,80.318,80.179,77.789,74.495,72.860,78.181,81.774,85.836
0.000,80.991,80.739,78.486,75.068,73.650,78.903,82.364,85.640
0.000,81.476,81.022,78.975,75.484,74.383,79.332,83.111,85.815
0.000,81.834,81.429,79.395,75.920,74.761,79.653,83.495,86.150
0.276,82.234,81.890,79.730,76.205,75.380,80.052,83.848,86.199
0.000,82.510,82.110,79.962,76.597,75.732,80.296,84.150,86.348
0.000,82.820,82.500,80.327,77.174,75.960,80.624,84.483,86.496
0.000,82.906,82.638,80.497,77.239,76.251,80.732,84.692,87.133
0.000,83.175,82.895,80.721,77.402,76.393,80.959,84.946,87.109
0.000,83.298,83.126,80.726,77.653,76.544,81.119,85.192,86.939
0.000,83.546,83.260,80.769,77.782,76.692,81.297,85.300,86.873
0.000,83.700,83.434,80.820,77.923,76.818,81.428,85.374,86.796
0.371,83.811,83.540,80.923,78.091,76.835,81.547,85.462,86.645
0.000,83.970,83.675,81.089,78.177,76.916,81.587,85.503,86.474
0.000,84.079,83.795,81.220,78.370,77.064,81.817,85.638,86.408
0.000,84.163,83.861,81.353,78.471,77.223,81.958,85.742,86.188
0.000,84.256,83.848,81.366,78.579,77.434,81.936,85.775,86.005
0.000,84.348,83.854,81.352,78.740,77.430,81.984,85.769,85.826
0.000,84.419,84.024,81.400,78.836,77.500,82.010,85.846,86.818
0.000,84.395,83.979,81.507,78.787,77.608,82.062,85.852,87.428
0.471,84.417,83.948,81.489,78.747,77.550,82.047,85.802,87.230
0.000,84.547,84.027,81.559,78.810,77.676,82.108,85.894,87.089
0.000,84.655,84.025,81.678,78.949,77.724,82.179,85.964,86.836
0.000,84.650,84.112,81.860,78.914,77.785,82.279,85.974,87.172
0.000,84.683,84.165,81.938,78.987,77.844,82.264,85.935,87.014
0.000,84.659,84.087,81.980,78.929,77.815,82.254,85.910,87.003
0.000,84.769,84.197,82.057,79.021,77.815,82.318,85.937,87.016
0.000,84.736,84.295,82.045,79.059,77.859,82.386,85.972,86.873
0.569,84.691,84.245,82.102,79.048,77.933,82.364,85.999,86.911
0.000,84.630,84.337,82.173,79.123,77.893,82.368,86.036,86.877
0.000,84.653,84.326,82.198,79.050,77.946,82.459,86.066,86.852
0.000,84.697,84.299,82.132,79.035,77.921,82.445,86.062,87.051
0.000,84.684,84.344,82.190,79.143,78.022,82.528,86.170,87.227
0.000,84.697,84.302,82.147,79.121,78.018,82.496,86.140,87.181
0.000,84.767,84.335,82.138,79.207,78.126,82.587,86.175,86.934
0.000,84.823,84.345,82.189,79.129,78.145,82.581,86.156,86.733
0.670,84.813,84.394,82.163,79.172,78.166,82.618,86.257,86.719
0.000,84.779,84.414,82.141,79.171,78.181,82.591,86.296,86.651
0.000,84.803,84.366,82.108,79.151,78.118,82.506,86.222,87.071
0.000,84.965,84.360,82.077,79.192,78.106,82.506,86.239,87.517
0.000,85.007,84.360,82.082,79.113,78.094,82.464,86.252,87.287
0.000,84.996,84.361,82.053,79.073,78.079,82.451,86.293,87.201
0.000,84.970,84.337,82.071,79.050,78.198,82.498,86.331,87.026
0.763,85.093,84.506,82.187,79.183,78.183,82.621,86.377,87.145
0.000,84.956,84.536,82.165,79.200,78.154,82.628,86.360,86.953
0.000,84.984,84.440,82.184,79.089,78.140,82.545,86.296,86.756
0.000,85.009,84.382,82.130,79.071,78.101,82.528,86.262,86.513
0.000,85.004,84.468,82.314,79.145,78.101,82.592,86.304,86.558
0.000,85.072,84.376,82.270,79.117,78.037,82.595,86.277,86.506
0.000,85.033,84.340,82.233,79.086,78.061,82.637,86.270,86.532
0.000,84.977,84.255,82.218,79.090,78.039,82.559,86.206,86.445
0.872,84.920,84.190,82.113,79.012,78.010,82.494,86.187,86.246
0.000,84.830,84.167,82.118,78.919,77.989,82.425,86.101,86.086
0.000,84.736,84.197,82.067,78.888,78.042,82.471,86.117,86.957
0.000,84.703,84.259,82.077,78.983,78.045,82.504,86.216,86.804
0.000,84.804,84.261,82.062,79.209,78.092,82.611,86.212,86.721
0.000,84.862,84.275,82.081,79.130,78.147,82.591,86.169,86.490
0.000,84.799,84.296,82.074,79.072,78.110,82.565,86.149,86.943
0.000,84.738,84.193,82.068,78.990,78.111,82.464,86.078,87.089
0.959,84.728,84.186,82.136,78.936,78.147,82.481,86.084,86.879
0.000,84.686,84.197,82.097,78.934,78.098,82.451,86.040,86.969
0.000,84.702,84.148,82.068,78.908,78.039,82.400,85.979,86.796
0.000,84.596,84.219,82.084,78.921,78.085,82.394,86.069,86.752
0.000,84.508,84.174,82.103,78.887,78.095,82.423,86.042,86.524
0.000,84.591,84.257,82.124,78.956,78.054,82.430,86.074,86.361
0.000,84.622,84.260,82.129,79.031,78.065,82.431,86.034,86.176
0.000,84.596,84.240,82.106,79.073,78.106,82.472,86.053,86.649
1.056,84.703,84.315,82.199,79.167,78.157,82.538,86.191,86.843
0.000,84.734,84.305,82.251,79.149,78.130,82.508,86.203,86.967
0.000,84.760,84.320,82.334,79.162,78.153,82.542,86.239,86.796
0.000,84.793,84.327,82.297,79.088,78.164,82.572,86.275,86.937
0.000,84.816,84.422,82.423,79.085,78.199,82.684,86.370,86.952
0.000,84.892,84.474,82.503,79.178,78.187,82.750,86.465,87.555
0.000,84.909,84.564,82.575,79.249,78.293,82.835,86.578,87.577
0.000,84.879,84.581,82.519,79.213,78.248,82.847,86.593,87.412
1.154,84.913,84.616,82.529,79.234,78.244,82.853,86.574,87.150
0.000,85.069,84.719,82.567,79.297,78.253,82.920,86.562,87.319
0.000,85.135,84.772,82.607,79.274,78.293,82.908,86.543,87.269
0.000,85.084,84.663,82.573,79.226,78.236,82.830,86.442,87.178
0.000,84.963,84.602,82.444,79.154,78.208,82.697,86.366,86.983
0.000,84.930,84.666,82.508,79.271,78.367,82.723,86.456,87.043
0.000,85.012,84.726,82.674,79.357,78.361,82.792,86.554,87.223
1.251,84.957,84.677,82.570,79.407,78.344,82.740,86.557,87.128
0.000,84.994,84.678,82.569,79.392,78.323,82.731,86.536,87.056
0.000,84.972,84.638,82.414,79.314,78.252,82.645,86.411,87.421
0.000,84.946,84.583,82.271,79.271,78.219,82.512,86.333,87.533
0.000,84.896,84.500,82.221,79.201,78.253,82.468,86.234,87.350
0.000,84.920,84.443,82.154,79.132,78.262,82.399,86.145,88.683
0.000,84.813,84.438,82.155,79.038,78.318,82.363,86.244,88.503
0.000,84.797,84.477,82.110,79.071,78.386,82.385,86.246,88.769
1.348,84.754,84.363,82.031,78.979,78.314,82.297,86.181,88.765
0.000,84.801,84.329,82.013,78.963,78.376,82.277,86.165,88.846
0.000,84.807,84.402,82.032,78.916,78.292,82.344,86.174,88.953
