Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,61.463,60.445,59.128,56.488,56.551,60.642,62.657,74.768
0.000,64.216,63.278,61.836,59.394,59.396,63.195,65.646,76.412
0.000,65.617,64.790,63.303,60.706,61.010,64.633,67.157,78.005
0.000,66.397,65.834,64.019,61.616,62.010,65.520,68.178,78.904
0.000,67.307,66.751,64.700,62.319,62.660,66.347,68.973,78.820
0.000,67.800,67.257,65.146,62.859,63.243,66.860,69.477,78.835
0.000,68.230,67.655,65.544,63.394,63.671,67.417,69.990,78.715
0.277,68.558,68.076,65.936,63.727,64.050,67.879,70.462,78.703
0.000,68.819,68.321,66.270,64.062,64.437,68.237,70.870,78.434
0.000,69.201,68.658,66.512,64.380,64.823,68.539,71.155,78.298
0.000,69.528,68.880,66.672,64.540,65.028,68.877,71.361,78.116
0.000,69.718,69.102,66.834,64.754,65.263,69.030,71.549,77.930
0.000,69.910,69.271,66.989,64.921,65.447,69.276,71.748,77.658
0.000,70.148,69.407,67.144,65.045,65.595,69.484,71.957,77.547
0.000,70.336,69.494,67.298,65.142,65.678,69.663,72.094,78.361
0.377,70.420,69.555,67.517,65.252,65.784,69.773,72.172,78.607
0.000,70.505,69.667,67.605,65.365,65.909,69.843,72.237,78.513
0.000,70.646,69.717,67.771,65.434,65.990,69.881,72.367,78.229
0.000,70.758,69.800,67.853,65.507,66.074,69.920,72.471,78.028
0.000,70.869,69.941,67.957,65.608,66.167,69.995,72.604,77.881
0.000,70.930,70.018,68.017,65.711,66.232,70.074,72.682,77.720
0.000,71.010,70.070,68.147,65.851,66.300,70.083,72.708,77.566
0.000,71.084,70.153,68.232,65.893,66.340,70.139,72.731,77.707
0.471,71.118,70.196,68.321,65.926,66.355,70.188,72.792,77.617
0.000,71.231,70.235,68.392,65.958,66.429,70.295,72.920,77.480
0.000,71.304,70.375,68.491,66.055,66.511,70.382,73.010,77.283
0.000,71.377,70.464,68.548,66.085,66.528,70.346,72.999,77.118
0.000,71.437,70.578,68.597,66.166,66.530,70.390,73.035,77.847
0.000,71.408,70.624,68.617,66.161,66.552,70.413,73.039,77.908
0.000,71.372,70.673,68.625,66.222,66.661,70.419,73.064,78.046
0.000,71.325,70.715,68.648,66.222,66.689,70.437,73.036,77.839
0.571,71.342,70.787,68.644,66.176,66.768,70.465,73.082,77.798
0.000,71.400,70.887,68.689,66.196,66.824,70.506,73.164,77.549
0.000,71.444,70.981,68.708,66.185,66.881,70.531,73.248,77.350
0.000,71.472,71.013,68.787,66.257,66.931,70.570,73.228,77.147
0.000,71.567,71.065,68.853,66.271,66.919,70.607,73.262,77.001
0.000,71.616,71.077,68.914,66.385,66.939,70.580,73.304,76.963
0.000,71.613,71.103,68.990,66.409,66.933,70.533,73.308,77.246
0.000,71.651,71.038,69.047,66.436,66.930,70.470,73.253,79.476
0.670,71.737,71.036,69.040,66.459,66.939,70.442,73.221,79.205
0.000,71.719,70.989,69.016,66.447,66.911,70.396,73.222,78.959
0.000,71.746,71.015,69.065,66.511,66.932,70.369,73.198,79.210
0.000,71.728,71.034,69.084,66.473,66.972,70.404,73.170,78.899
0.000,71.731,71.012,69.022,66.451,66.908,70.393,73.139,78.716
0.000,71.805,71.063,69.058,66.456,66.938,70.468,73.313,78.547
0.000,71.861,71.041,69.124,66.448,66.945,70.459,73.337,78.276
0.767,71.916,71.076,69.115,66.522,66.982,70.540,73.427,78.236
0.000,72.003,71.147,69.185,66.536,67.008,70.573,73.442,78.442
0.000,72.036,71.267,69.238,66.624,67.082,70.658,73.504,78.247
0.000,72.116,71.426,69.363,66.747,67.164,70.717,73.498,78.397
0.000,72.165,71.547,69.402,66.827,67.218,70.735,73.530,78.309
0.000,72.200,71.504,69.363,66.853,67.233,70.734,73.572,78.083
0.000,72.250,71.496,69.343,66.916,67.247,70.781,73.575,77.825
0.000,72.277,71.423,69.362,66.976,67.254,70.834,73.597,77.669
0.861,72.295,71.449,69.461,66.996,67.219,70.872,73.677,77.400
0.000,72.245,71.508,69.520,66.993,67.260,70.948,73.656,77.285
0.000,72.216,71.525,69.549,66.963,67.283,70.936,73.645,77.969
0.000,72.177,71.453,69.528,67.012,67.299,70.943,73.629,77.796
0.000,72.065,71.345,69.420,66.907,67.232,70.890,73.529,77.535
0.000,71.987,71.327,69.334,66.823,67.207,70.866,73.478,77.446
0.000,71.924,71.406,69.289,66.739,67.182,70.832,73.462,77.207
0.000,71.848,71.360,69.276,66.707,67.148,70.786,73.458,77.036
0.964,71.818,71.274,69.277,66.600,67.141,70.852,73.438,77.054
0.000,71.800,71.293,69.263,66.593,67.183,70.883,73.448,77.598
0.000,71.835,71.244,69.265,66.594,67.191,70.957,73.481,77.918
0.000,71.750,71.191,69.280,66.563,67.182,70.988,73.452,77.983
0.000,71.719,71.152,69.254,66.458,67.191,71.036,73.488,77.926
0.000,71.681,71.158,69.311,66.404,67.222,71.117,73.458,78.031
0.000,71.707,71.186,69.342,66.387,67.218,71.163,73.523,77.993
0.000,71.749,71.197,69.366,66.397,67.225,71.144,73.513,77.848
1.054,71.770,71.256,69.420,66.396,67.248,71.271,73.629,77.838
0.000,71.764,71.316,69.490,66.435,67.234,71.295,73.625,77.936
0.000,71.806,71.327,69.521,66.514,67.330,71.345,73.701,77.826
0.000,71.840,71.372,69.646,66.607,67.351,71.461,73.851,77.694
0.000,71.779,71.426,69.649,66.540,67.372,71.475,73.919,77.522
0.000,71.766,71.506,69.675,66.521,67.381,71.471,73.938,77.834
