Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,65.233,66.015,63.345,59.556,58.648,63.649,66.696,65.817
0.000,68.072,67.923,65.709,62.377,60.830,66.318,68.947,68.541
0.000,69.313,68.960,67.226,63.633,62.183,67.627,70.431,70.243
0.000,70.384,70.379,68.445,64.981,63.318,68.944,71.601,71.355
0.000,71.596,71.208,69.196,65.871,64.393,69.693,72.436,73.007
0.000,72.469,71.860,69.718,66.423,65.093,70.124,73.103,73.569
0.000,73.031,72.256,70.337,67.025,65.758,70.585,73.649,74.416
0.274,73.348,72.737,70.879,67.593,66.130,71.084,74.086,74.832
0.000,73.573,72.939,71.181,68.022,66.553,71.317,74.269,75.076
0.000,73.870,73.311,71.486,68.390,67.059,71.815,74.683,75.295
0.000,74.132,73.513,71.725,68.708,67.229,71.933,74.969,75.631
0.000,74.345,73.700,72.015,68.922,67.302,72.161,75.199,75.810
0.000,74.491,73.976,72.189,69.218,67.550,72.384,75.492,76.054
0.000,74.812,74.361,72.620,69.829,67.696,72.641,75.629,76.363
0.000,74.937,74.475,72.661,69.891,67.859,72.715,75.665,76.400
0.382,75.059,74.536,72.752,69.964,68.089,72.899,75.747,76.537
0.000,75.281,74.730,72.935,70.209,68.164,73.039,75.869,76.658
0.000,75.325,74.921,73.000,70.286,68.282,73.147,76.053,76.694
0.000,75.304,74.952,72.977,70.315,68.302,73.184,76.142,76.760
0.000,75.341,75.044,73.041,70.331,68.405,73.225,76.168,76.854
0.000,75.287,75.035,73.133,70.471,68.409,73.258,76.226,76.884
0.000,75.424,75.152,73.148,70.508,68.541,73.396,76.301,76.986
0.000,75.465,75.212,73.203,70.614,68.666,73.577,76.392,77.044
0.485,75.504,75.284,73.255,70.656,68.634,73.656,76.436,77.108
0.000,75.464,75.338,73.318,70.670,68.576,73.663,76.448,77.159
0.000,75.409,75.364,73.353,70.677,68.593,73.790,76.456,77.095
0.000,75.465,75.294,73.413,70.657,68.653,73.782,76.461,77.096
0.000,75.449,75.263,73.435,70.617,68.611,73.753,76.433,77.117
0.000,75.454,75.277,73.577,70.709,68.649,73.906,76.504,77.123
0.000,75.600,75.322,73.540,70.721,68.757,74.042,76.543,77.416
0.000,75.696,75.425,73.676,70.819,68.771,74.113,76.565,77.447
0.574,75.752,75.449,73.710,70.775,68.752,74.183,76.642,77.553
0.000,75.800,75.448,73.770,70.763,68.818,74.132,76.699,77.600
0.000,75.750,75.410,73.775,70.762,68.891,74.151,76.699,77.587
0.000,75.907,75.457,73.829,70.805,68.896,74.235,76.716,77.620
0.000,75.840,75.484,73.735,70.756,68.908,74.166,76.681,77.595
0.000,75.895,75.560,73.778,70.753,68.885,74.106,76.615,77.609
0.000,75.891,75.485,73.712,70.714,68.863,73.985,76.562,77.541
0.000,75.978,75.477,73.731,70.907,68.992,74.050,76.573,77.723
0.670,75.962,75.412,73.759,70.919,69.008,74.078,76.601,77.701
0.000,76.062,75.679,73.863,71.056,69.043,74.126,76.677,77.740
0.000,76.035,75.698,73.878,71.185,69.007,74.141,76.686,77.698
0.000,76.000,75.661,73.904,71.080,69.084,74.113,76.763,77.694
0.000,75.930,75.592,73.813,71.035,69.034,74.025,76.640,77.621
0.000,75.864,75.468,73.789,70.950,69.001,74.043,76.628,77.603
0.000,75.872,75.456,73.789,70.913,68.942,74.060,76.659,77.550
0.773,75.961,75.477,73.853,70.945,69.011,74.029,76.675,77.490
0.000,75.858,75.417,73.827,70.953,68.901,74.038,76.585,77.445
0.000,75.804,75.375,73.737,70.887,68.841,73.981,76.584,77.429
0.000,75.872,75.362,73.642,70.791,68.760,73.980,76.581,77.421
0.000,75.850,75.362,73.790,70.722,68.782,74.098,76.646,77.392
0.000,75.763,75.287,73.721,70.716,68.724,74.006,76.631,77.328
0.000,75.756,75.284,73.682,70.610,68.760,73.944,76.591,77.329
0.000,75.765,75.337,73.701,70.548,68.854,73.912,76.606,77.329
0.865,75.873,75.423,73.798,70.498,68.898,74.008,76.683,77.475
0.000,75.823,75.495,73.821,70.713,68.928,74.091,76.753,77.464
0.000,75.794,75.441,73.765,70.742,68.953,74.090,76.774,77.422
0.000,75.950,75.545,73.811,70.729,68.916,74.090,76.867,77.424
0.000,75.949,75.377,73.800,70.724,68.934,74.143,76.817,77.542
0.000,75.915,75.358,73.755,70.726,68.857,74.150,76.749,77.576
0.000,75.957,75.448,73.789,70.731,68.845,74.041,76.750,77.534
0.000,75.879,75.426,73.857,70.726,68.982,74.090,76.810,77.545
0.960,75.983,75.435,73.775,70.740,68.978,74.075,76.816,77.674
0.000,75.985,75.387,73.691,70.688,68.976,74.047,76.827,77.672
0.000,76.020,75.417,73.726,70.711,68.937,74.085,76.741,77.645
0.000,75.934,75.344,73.710,70.783,68.964,74.073,76.673,77.600
0.000,75.867,75.235,73.637,70.768,68.994,73.991,76.640,77.605
0.000,75.902,75.163,73.566,70.671,68.937,73.920,76.529,77.547
0.000,75.943,75.245,73.681,70.827,68.972,73.988,76.535,77.584
0.000,75.909,75.290,73.690,70.913,69.089,73.971,76.603,77.573
1.058,75.907,75.350,73.708,70.965,69.058,74.008,76.640,77.580
0.000,75.826,75.352,73.705,70.931,68.974,73.944,76.595,77.452
0.000,75.753,75.356,73.737,70.979,68.928,73.920,76.562,77.523
0.000,75.715,75.328,73.716,70.934,68.818,73.850,76.551,77.451
0.000,75.631,75.213,73.695,70.924,68.740,73.743,76.491,77.335
0.000,75.565,75.199,73.589,70.787,68.671,73.696,76.483,77.254
0.000,75.619,75.113,73.535,70.766,68.648,73.751,76.436,77.263
0.000,75.571,75.130,73.511,70.754,68.662,73.779,76.455,77.265
1.156,75.536,75.126,73.514,70.697,68.644,73.868,76.489,77.245
0.000,75.620,75.122,73.553,70.716,68.779,73.861,76.508,77.321
0.000,75.615,75.159,73.569,70.748,68.832,73.901,76.514,77.384
0.000,75.630,75.214,73.711,70.900,68.966,73.963,76.642,77.492
0.000,75.589,75.147,73.678,70.816,68.853,73.863,76.567,77.419
0.000,75.626,75.198,73.736,70.911,68.861,73.902,76.564,77.441
0.000,75.577,75.167,73.619,70.866,68.783,73.858,76.553,77.442
1.253,75.584,75.221,73.585,70.870,68.752,73.890,76.612,77.472
0.000,75.513,75.255,73.593,70.840,68.874,73.932,76.646,77.493
0.000,75.514,75.257,73.603,70.811,68.827,73.925,76.639,77.468
0.000,75.495,75.325,73.673,70.872,68.835,73.966,76.687,77.511
0.000,75.488,75.366,73.601,70.799,68.806,73.893,76.694,77.482
0.000,75.454,75.366,73.633,70.830,68.885,73.834,76.681,77.511
0.000,75.481,75.369,73.654,70.889,68.908,73.893,76.698,77.443
0.000,75.522,75.359,73.785,70.980,68.908,73.954,76.697,77.459
1.351,75.512,75.394,73.709,70.928,68.905,73.940,76.698,77.469
0.000,75.549,75.474,73.706,70.963,68.906,73.938,76.704,77.480
0.000,75.639,75.490,73.729,71.086,68.890,74.067,76.743,77.480
0.000,75.589,75.441,73.762,71.024,68.917,74.094,76.775,77.438
0.000,75.606,75.422,73.757,70.977,68.916,74.059,76.777,77.448
0.000,75.728,75.455,73.859,71.121,69.019,74.045,76.715,77.508
0.000,75.677,75.374,73.808,71.047,69.028,73.991,76.661,77.482
0.000,75.731,75.427,73.950,71.036,69.012,74.054,76.661,77.532
1.452,75.691,75.396,73.868,71.044,69.043,74.014,76.565,77.573
0.000,75.655,75.361,73.840,70.972,69.023,74.021,76.577,77.566
0.000,75.662,75.328,73.743,70.972,68.942,73.981,76.548,77.470
0.000,75.748,75.359,73.853,71.051,68.987,74.132,76.587,77.505
0.000,75.789,75.356,73.905,71.018,69.047,74.204,76.592,77.516
0.000,75.743,75.369,73.939,71.006,68.985,74.170,76.613,77.513
0.000,75.712,75.329,73.884,70.990,68.912,74.132,76.531,77.485
0.000,75.719,75.405,73.810,71.018,68.895,74.175,76.545,77.414
1.551,75.654,75.289,73.779,70.998,68.894,74.166,76.505,77.390
0.000,75.698,75.318,73.869,71.021,68.934,74.175,76.525,77.466
0.000,75.895,75.407,73.969,71.171,69.103,74.246,76.570,77.519
0.000,76.001,75.434,74.005,71.210,69.068,74.215,76.693,77.540
0.000,76.059,75.392,73.939,71.148,69.092,74.114,76.675,77.482
0.000,75.928,75.345,73.860,71.137,69.114,74.122,76.632,77.403
0.000,75.891,75.387,73.850,71.097,69.068,74.092,76.613,77.380
0.000,75.820,75.327,73.753,71.010,69.125,74.103,76.590,77.368
1.647,75.753,75.312,73.671,70.943,69.098,74.172,76.637,77.333
0.000,75.736,75.259,73.622,70.988,69.022,74.220,76.639,77.278
0.000,75.811,75.241,73.705,71.059,69.035,74.228,76.671,77.318
0.000,75.803,75.249,73.708,71.023,69.065,74.265,76.708,77.364
0.000,75.805,75.218,73.702,71.011,69.019,74.307,76.753,77.376
0.000,75.706,75.123,73.626,70.899,69.034,74.211,76.750,77.324
0.000,75.829,75.227,73.581,70.916,69.017,74.163,76.762,77.448
1.745,75.714,75.232,73.555,70.873,68.992,74.122,76.749,77.442
0.000,75.726,75.267,73.685,70.892,69.056,74.133,76.719,77.489
