Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,66.192,66.223,64.224,60.545,62.895,65.513,67.199,79.322
0.000,68.666,69.101,67.434,63.609,65.396,68.068,69.896,79.975
0.000,70.356,70.607,69.226,65.331,66.754,69.724,71.333,80.492
0.000,71.427,71.612,70.227,66.235,67.899,70.876,72.412,80.413
0.000,72.164,72.423,70.906,67.083,68.658,71.628,73.300,80.493
0.000,72.739,72.920,71.522,67.925,69.183,72.136,73.799,80.967
0.000,73.107,73.231,72.047,68.489,69.577,72.550,74.215,81.370
0.292,73.485,73.657,72.425,68.922,69.934,72.911,74.641,81.234
0.000,73.844,74.143,72.879,69.195,70.212,73.299,75.054,81.297
0.000,74.168,74.408,73.214,69.373,70.487,73.626,75.381,81.615
0.000,74.518,74.700,73.452,69.594,70.780,73.839,75.691,81.821
0.000,74.727,74.848,73.707,69.757,71.034,74.040,75.912,82.161
0.000,74.921,75.072,73.927,69.909,71.229,74.298,76.141,82.863
0.000,75.030,75.270,74.098,70.047,71.432,74.487,76.318,83.161
0.000,75.124,75.468,74.261,70.207,71.493,74.557,76.389,83.163
0.386,75.291,75.594,74.310,70.274,71.615,74.673,76.545,83.059
0.000,75.444,75.697,74.376,70.379,71.732,74.721,76.567,83.390
0.000,75.534,75.732,74.471,70.513,71.848,74.807,76.676,83.230
0.000,75.616,75.815,74.530,70.576,71.948,74.885,76.726,83.055
0.000,75.746,75.932,74.659,70.640,71.969,74.897,76.810,83.587
0.000,75.786,76.068,74.691,70.782,71.999,74.923,76.917,84.175
0.000,75.870,76.100,74.717,70.791,72.028,74.968,76.927,84.582
0.000,75.882,76.152,74.733,70.801,72.070,74.974,77.009,84.332
0.481,75.961,76.134,74.739,70.830,72.180,75.005,77.047,84.275
0.000,76.031,76.150,74.723,70.917,72.270,75.056,77.061,84.196
0.000,76.058,76.109,74.723,71.044,72.340,75.058,77.075,84.255
0.000,76.131,76.185,74.757,71.054,72.376,75.139,77.133,84.034
0.000,76.099,76.170,74.764,71.080,72.458,75.198,77.070,83.944
0.000,76.147,76.263,74.846,71.103,72.514,75.230,77.160,83.710
0.000,76.174,76.257,74.854,71.190,72.516,75.197,77.206,83.667
0.000,76.210,76.314,74.887,71.278,72.592,75.225,77.240,83.514
0.578,76.274,76.411,74.925,71.361,72.594,75.280,77.377,83.303
0.000,76.346,76.435,75.022,71.374,72.621,75.284,77.381,83.104
0.000,76.357,76.446,74.973,71.427,72.645,75.320,77.359,83.405
0.000,76.323,76.453,74.938,71.427,72.664,75.356,77.384,83.134
0.000,76.372,76.526,74.964,71.414,72.732,75.404,77.401,82.839
0.000,76.312,76.478,74.912,71.448,72.762,75.370,77.352,82.575
0.000,76.350,76.545,74.969,71.527,72.836,75.500,77.478,82.751
0.000,76.400,76.628,75.030,71.520,72.818,75.575,77.590,82.640
0.685,76.466,76.630,75.010,71.578,72.829,75.592,77.653,82.397
0.000,76.475,76.712,75.030,71.565,72.808,75.660,77.707,82.393
0.000,76.556,76.831,75.144,71.506,72.745,75.716,77.793,82.910
0.000,76.587,76.848,75.201,71.473,72.775,75.704,77.744,82.849
0.000,76.573,76.930,75.231,71.517,72.816,75.701,77.779,82.651
0.000,76.596,76.921,75.374,71.557,72.826,75.775,77.782,83.540
0.000,76.612,76.871,75.354,71.532,72.808,75.773,77.774,83.458
0.785,76.623,76.847,75.302,71.531,72.765,75.779,77.767,83.663
0.000,76.611,76.906,75.302,71.479,72.801,75.785,77.799,83.764
0.000,76.684,76.882,75.318,71.377,72.793,75.711,77.763,84.265
0.000,76.715,76.846,75.358,71.423,72.813,75.706,77.746,84.401
