Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,34.962,32.865,30.412,28.839,33.583,29.066,26.391,25.236
0.000,35.047,33.066,30.926,29.928,33.605,29.822,28.225,27.592
0.000,35.000,33.252,31.325,30.650,33.707,30.360,29.463,29.114
0.000,34.831,33.364,31.710,31.064,33.763,30.963,30.455,29.772
0.000,34.752,33.467,31.788,31.279,33.855,31.408,31.221,30.402
0.000,34.686,33.553,31.994,31.577,33.838,31.643,31.669,30.920
0.000,34.650,33.677,32.165,31.747,33.818,31.858,32.061,31.375
0.284,34.563,33.719,32.357,31.891,33.857,32.097,32.502,31.773
0.000,34.625,33.840,32.514,32.034,33.953,32.316,32.709,32.037
0.000,34.551,33.851,32.550,32.234,33.979,32.491,32.872,32.324
0.000,34.477,33.826,32.600,32.347,34.030,32.627,33.024,32.575
0.000,34.441,33.908,32.692,32.444,34.001,32.710,33.140,32.749
0.000,34.359,33.910,32.763,32.540,34.020,32.843,33.210,32.938
0.000,34.320,33.935,32.777,32.636,33.966,32.886,33.238,33.095
0.000,34.374,34.043,32.866,32.745,34.014,32.918,33.387,33.236
0.381,34.475,34.123,32.972,32.904,33.992,32.933,33.403,33.257
0.000,34.430,34.103,32.983,33.046,34.056,33.114,33.522,33.326
0.000,34.417,34.176,33.017,33.040,34.084,33.147,33.639,33.434
0.000,34.337,34.213,33.050,33.121,34.052,33.206,33.644,33.434
0.000,34.298,34.205,33.074,33.214,34.093,33.215,33.716,33.387
0.000,34.222,34.190,33.161,33.225,34.060,33.250,33.830,33.440
0.000,34.197,34.294,33.143,33.287,34.147,33.278,33.844,33.435
0.000,34.222,34.341,33.145,33.291,34.131,33.280,33.824,33.483
0.477,34.186,34.402,33.123,33.306,34.060,33.352,33.811,33.485
0.000,34.170,34.399,33.058,33.332,34.034,33.296,33.816,33.495
0.000,34.091,34.380,33.029,33.358,34.129,33.360,33.812,33.539
0.000,34.052,34.388,33.071,33.364,34.133,33.433,33.842,33.556
0.000,34.167,34.327,33.066,33.322,34.067,33.457,33.801,33.497
0.000,34.204,34.321,33.112,33.454,34.069,33.430,33.892,33.546
