Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,50.903,51.307,49.506,47.974,49.092,53.648,52.762,67.541
0.000,54.082,53.596,51.822,50.586,51.858,56.438,55.661,67.391
0.000,55.481,54.865,53.190,52.071,53.460,57.805,57.307,67.150
0.000,56.433,55.830,54.044,53.210,54.654,59.001,58.729,66.863
0.000,56.970,56.556,54.713,53.858,55.455,59.851,59.699,67.174
0.000,57.649,57.291,55.371,54.551,56.031,60.406,60.393,67.275
0.000,57.992,57.864,55.959,55.046,56.417,60.805,60.886,67.074
0.279,58.384,58.214,56.303,55.342,56.748,61.150,61.240,66.788
0.000,58.764,58.583,56.599,55.653,57.036,61.489,61.611,66.538
0.000,58.999,58.822,56.837,55.965,57.354,61.848,61.785,66.340
0.000,59.318,59.057,57.078,56.285,57.654,62.181,61.999,66.317
0.000,59.605,59.398,57.333,56.514,57.898,62.468,62.108,66.392
0.000,59.908,59.577,57.542,56.787,58.108,62.664,62.212,66.661
0.000,60.212,59.678,57.754,56.966,58.281,62.913,62.333,66.536
0.000,60.380,59.825,57.970,57.133,58.516,63.136,62.466,66.301
0.378,60.509,59.970,58.078,57.352,58.669,63.349,62.494,66.117
0.000,60.626,60.034,58.192,57.455,58.724,63.420,62.589,65.885
0.000,60.763,60.014,58.292,57.562,58.839,63.514,62.770,65.788
0.000,60.825,60.060,58.441,57.598,58.876,63.616,62.896,65.597
0.000,60.920,60.164,58.507,57.636,58.990,63.783,62.943,65.449
0.000,60.957,60.226,58.521,57.656,59.017,63.817,63.007,65.906
0.000,60.989,60.249,58.532,57.665,59.075,63.847,63.065,66.330
0.000,61.074,60.288,58.529,57.728,59.130,63.848,63.116,66.095
0.469,61.068,60.282,58.598,57.695,59.090,63.811,63.072,65.972
0.000,61.052,60.335,58.649,57.703,59.091,63.841,63.165,65.977
0.000,61.053,60.343,58.667,57.786,59.195,63.896,63.211,66.763
0.000,61.076,60.410,58.702,57.819,59.209,63.929,63.196,66.933
0.000,61.047,60.373,58.733,57.805,59.236,63.910,63.268,66.707
0.000,61.036,60.415,58.749,57.828,59.260,63.860,63.265,66.450
0.000,60.980,60.385,58.719,57.876,59.254,63.831,63.279,66.195
0.000,60.886,60.415,58.650,57.851,59.254,63.854,63.322,65.974
0.568,60.842,60.361,58.690,57.896,59.281,63.900,63.272,65.803
0.000,60.772,60.325,58.729,57.942,59.275,63.872,63.264,65.846
0.000,60.716,60.250,58.758,57.937,59.267,63.877,63.277,65.565
0.000,60.627,60.214,58.786,57.980,59.294,63.837,63.301,65.361
0.000,60.622,60.264,58.787,57.989,59.331,63.839,63.335,65.210
0.000,60.620,60.318,58.827,58.024,59.331,63.839,63.311,65.474
0.000,60.595,60.328,58.886,58.023,59.290,63.803,63.328,65.667
0.000,60.614,60.312,58.903,58.087,59.302,63.776,63.334,65.639
0.669,60.579,60.313,58.911,58.154,59.363,63.849,63.465,65.520
0.000,60.554,60.363,58.970,58.175,59.367,63.871,63.441,65.500
0.000,60.524,60.384,58.987,58.213,59.395,63.908,63.401,65.751
0.000,60.483,60.342,58.965,58.192,59.359,63.897,63.388,65.871
0.000,60.532,60.377,58.958,58.205,59.360,63.901,63.440,65.822
0.000,60.550,60.331,58.942,58.255,59.382,63.980,63.551,65.817
0.000,60.560,60.294,58.902,58.257,59.413,64.059,63.528,65.627
0.765,60.507,60.229,58.864,58.229,59.374,64.011,63.406,66.183
0.000,60.483,60.202,58.843,58.226,59.366,64.010,63.372,66.334
0.000,60.514,60.174,58.813,58.193,59.402,64.032,63.365,66.162
0.000,60.432,60.122,58.808,58.220,59.410,64.013,63.379,65.921
0.000,60.383,60.057,58.720,58.241,59.428,64.023,63.343,65.903
0.000,60.308,60.010,58.670,58.182,59.383,64.008,63.268,65.778
0.000,60.379,59.983,58.665,58.134,59.400,63.990,63.240,65.918
0.000,60.361,59.917,58.578,58.104,59.339,63.908,63.195,65.702
0.865,60.443,59.954,58.544,58.178,59.383,63.998,63.260,65.476
0.000,60.462,60.000,58.507,58.213,59.445,64.066,63.301,65.291
0.000,60.471,60.020,58.536,58.185,59.413,64.043,63.317,65.340
0.000,60.603,59.989,58.491,58.218,59.406,64.082,63.418,65.373
0.000,60.598,59.906,58.425,58.157,59.348,64.025,63.419,65.307
0.000,60.639,59.935,58.393,58.122,59.299,63.986,63.450,65.075
0.000,60.540,59.912,58.329,58.101,59.247,63.938,63.401,64.825
0.000,60.510,59.917,58.345,58.077,59.213,63.915,63.471,64.589
0.958,60.518,59.955,58.336,58.103,59.195,63.913,63.540,64.557
0.000,60.529,59.928,58.401,58.072,59.129,63.871,63.531,65.013
0.000,60.546,59.901,58.396,58.057,59.108,63.831,63.555,65.019
0.000,60.564,59.884,58.407,58.057,59.072,63.838,63.548,64.896
0.000,60.624,59.872,58.425,58.096,59.080,63.876,63.578,64.771
0.000,60.643,59.931,58.431,58.079,59.052,63.846,63.559,64.606
0.000,60.676,59.994,58.459,58.101,59.069,63.851,63.623,64.461
0.000,60.700,59.978,58.448,58.038,59.040,63.798,63.589,64.193
1.060,60.695,60.073,58.423,57.969,59.052,63.795,63.663,64.078
0.000,60.601,60.017,58.439,57.982,59.073,63.818,63.611,63.912
0.000,60.563,60.038,58.464,57.930,59.068,63.771,63.584,63.796
0.000,60.514,60.023,58.486,58.006,59.148,63.771,63.588,63.990
0.000,60.448,59.953,58.431,57.953,59.151,63.733,63.470,63.717
0.000,60.416,59.905,58.324,57.952,59.148,63.687,63.443,63.582
0.000,60.398,59.962,58.276,57.973,59.179,63.753,63.376,63.470
0.000,60.453,59.953,58.248,57.948,59.190,63.733,63.335,63.483
1.155,60.482,60.039,58.300,57.972,59.238,63.773,63.288,63.360
0.000,60.538,60.031,58.315,57.946,59.219,63.781,63.287,63.153
0.000,60.588,60.018,58.342,57.964,59.225,63.837,63.275,63.087
0.000,60.559,60.091,58.397,58.011,59.255,63.912,63.256,62.994
0.000,60.565,60.077,58.429,57.961,59.252,63.897,63.261,63.449
0.000,60.569,60.087,58.503,57.953,59.251,63.886,63.298,63.443
0.000,60.560,60.083,58.493,57.944,59.265,63.876,63.269,63.262
1.255,60.557,60.131,58.582,57.991,59.309,63.894,63.313,63.363
0.000,60.497,60.101,58.526,57.994,59.293,63.968,63.265,63.287
0.000,60.466,60.067,58.482,57.952,59.293,63.961,63.222,63.161
0.000,60.402,60.038,58.475,57.914,59.273,63.901,63.167,63.002
0.000,60.439,59.980,58.499,57.935,59.260,63.910,63.229,62.856
0.000,60.446,59.942,58.431,57.949,59.291,63.924,63.240,62.871
0.000,60.421,59.942,58.462,57.907,59.270,63.946,63.240,62.911
0.000,60.419,59.916,58.476,57.912,59.287,63.985,63.264,64.474
1.351,60.396,59.871,58.487,57.889,59.310,63.963,63.269,64.716
0.000,60.376,59.851,58.501,57.909,59.308,63.948,63.229,64.647
0.000,60.384,59.840,58.446,57.942,59.335,64.000,63.252,64.544
0.000,60.382,59.851,58.471,57.963,59.366,64.099,63.272,64.471
0.000,60.350,59.787,58.426,57.912,59.339,64.111,63.209,64.354
0.000,60.401,59.759,58.426,57.863,59.305,64.107,63.204,64.212
0.000,60.386,59.748,58.409,57.916,59.312,64.099,63.164,64.631
0.000,60.425,59.791,58.445,57.955,59.324,64.067,63.196,64.979
1.457,60.399,59.786,58.401,57.898,59.274,64.032,63.128,64.853
0.000,60.367,59.815,58.404,57.892,59.285,64.007,63.140,64.653
0.000,60.416,59.955,58.425,57.887,59.282,63.974,63.183,64.438
0.000,60.348,59.952,58.436,57.863,59.220,63.899,63.170,64.180
0.000,60.455,59.987,58.399,57.943,59.243,63.911,63.280,63.967
0.000,60.368,59.955,58.350,57.914,59.204,63.881,63.273,63.752
0.000,60.328,59.992,58.349,57.874,59.168,63.833,63.316,63.628
0.000,60.290,60.021,58.378,57.845,59.170,63.828,63.326,63.458
1.547,60.317,59.994,58.322,57.867,59.133,63.755,63.307,63.595
0.000,60.369,59.951,58.279,57.832,59.118,63.724,63.270,63.653
0.000,60.322,59.933,58.212,57.830,59.091,63.723,63.261,63.650
0.000,60.263,59.956,58.244,57.767,59.051,63.706,63.236,63.530
0.000,60.256,59.953,58.224,57.722,59.030,63.694,63.187,63.429
