Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,92.217,92.281,91.240,90.825,91.643,91.114,91.854,90.837
0.000,91.782,91.847,90.805,90.391,91.209,90.680,91.420,90.402
0.000,91.347,91.412,90.370,89.956,90.774,90.245,90.985,89.967
0.000,90.912,90.977,89.936,89.521,90.339,89.810,90.550,89.532
0.000,90.477,90.542,89.501,89.086,89.904,89.375,90.115,89.097
0.000,90.043,90.107,89.066,88.651,89.469,88.940,89.680,88.662
0.000,89.608,89.672,88.631,88.216,89.034,88.505,89.245,88.228
0.333,89.173,89.237,88.196,87.781,88.599,88.070,88.810,87.793
0.000,88.738,88.802,87.761,87.346,88.164,87.635,88.375,87.358
0.000,88.303,88.367,87.326,86.911,87.729,87.200,87.940,86.923
0.000,87.868,87.932,86.891,86.476,87.294,86.765,87.505,86.488
0.000,87.433,87.497,86.456,86.041,86.859,86.330,87.070,86.053
0.000,87.158,87.062,86.021,85.606,86.424,85.895,86.635,85.618
0.000,86.731,86.902,85.907,85.570,85.989,85.460,86.200,85.183
0.000,87.920,86.478,85.481,85.141,85.554,85.025,85.765,84.748
0.431,87.534,86.044,85.047,87.764,85.587,85.072,85.903,84.607
0.000,87.103,85.609,84.612,87.333,87.102,84.670,85.474,84.186
0.000,88.641,85.174,84.177,88.974,86.873,84.237,85.040,83.752
0.000,88.909,84.739,83.742,95.010,86.442,83.802,95.241,83.317
0.000,95.807,84.304,83.307,96.406,86.011,83.367,97.446,82.882
0.000,97.755,97.643,82.872,96.500,87.546,82.932,97.015,82.447
0.000,97.321,99.863,82.437,96.065,87.120,82.497,96.580,82.012
0.000,96.886,99.440,82.002,98.768,86.685,82.062,96.145,81.577
0.531,100.381,99.006,81.567,100.053,97.421,81.627,99.947,81.142
0.000,101.947,98.571,81.132,99.618,99.779,81.192,101.589,80.707
0.000,101.512,101.639,80.697,102.649,99.344,80.758,101.154,80.272
0.000,104.453,103.198,98.354,102.216,98.910,97.611,102.704,97.653
0.000,104.135,102.764,101.080,103.895,103.138,100.044,104.107,100.086
0.000,103.702,102.331,100.646,103.784,102.917,99.610,103.674,99.653
0.000,103.273,103.418,100.212,103.350,102.483,99.175,103.241,99.218
0.000,102.850,104.795,99.782,102.916,103.374,101.514,102.813,98.784
0.624,102.421,104.361,99.363,102.482,104.591,103.180,102.387,103.135
0.000,101.992,103.927,98.947,102.049,104.156,102.746,101.957,102.801
0.000,101.561,103.493,98.528,101.615,103.722,102.312,101.526,102.367
0.000,101.128,103.059,98.099,101.181,103.287,101.878,101.093,101.936
0.000,100.695,102.625,97.672,100.746,102.852,101.446,100.660,101.507
0.000,100.262,102.191,97.241,100.312,102.418,101.015,100.227,101.080
0.000,99.828,101.757,96.810,99.877,101.983,100.582,99.793,100.647
0.000,99.394,101.322,96.378,99.442,101.548,100.148,99.359,100.215
0.726,98.961,100.889,95.949,99.008,101.114,99.715,98.925,99.783
0.000,98.528,100.455,95.518,98.574,100.679,99.281,98.491,99.351
0.000,98.094,100.021,95.086,98.139,100.244,98.846,98.057,98.917
0.000,97.661,99.586,94.653,97.705,99.809,98.412,97.623,98.484
0.000,97.227,99.152,94.221,97.270,99.375,97.978,97.189,98.050
0.000,96.793,98.718,93.788,96.836,98.940,97.544,96.755,97.616
0.000,96.360,98.284,93.355,96.402,98.505,97.109,96.321,97.182
0.832,95.927,97.850,92.923,95.967,98.070,96.675,95.887,96.749
0.000,95.494,97.416,92.491,95.533,97.636,96.241,95.454,96.315
0.000,95.061,96.983,92.059,95.099,97.201,95.806,95.020,95.881
0.000,94.628,96.549,91.628,94.664,96.766,95.372,94.586,95.448
0.000,94.196,96.115,91.196,94.230,96.332,94.938,94.153,95.015
0.000,93.763,95.683,90.767,93.796,95.897,94.504,93.720,94.581
0.000,93.332,95.249,90.335,93.362,95.463,94.070,93.287,94.148
0.000,92.900,94.816,89.905,92.929,95.028,93.636,92.854,93.716
0.918,92.470,94.384,89.475,92.496,94.594,93.203,92.421,93.284
0.000,92.040,93.952,89.048,92.063,94.160,92.769,91.990,92.853
0.000,91.611,93.521,88.619,91.630,93.725,92.336,91.558,92.421
0.000,91.181,93.088,88.189,91.196,93.291,91.903,91.127,91.990
0.000,90.751,92.657,87.763,90.764,92.857,91.471,90.697,91.559
0.000,90.324,92.227,87.339,90.332,92.424,91.038,90.267,91.130
0.000,89.897,91.798,86.917,89.903,91.991,90.608,89.839,90.701
0.000,89.470,91.368,86.493,89.472,91.558,90.175,89.410,90.273
1.016,89.046,90.938,86.070,89.041,91.124,89.742,88.979,89.842
